"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","599","escape cancels an edit and preserves the original title","chromium","Tue Jul 28 23:52:40 UTC 2026","passed","Tue Jul 28 23:52:40 UTC 2026","Todo Editing — P0 / P1","todo-editing.spec.ts","",""
"","10684","delete all todos — list stays empty after reload (known issue)","chromium","Tue Jul 28 23:52:42 UTC 2026","passed","Tue Jul 28 23:52:52 UTC 2026","Todo Persistence — P1 / Regression > BUG-002: empty state is not preserved after reload","todo-persistence.spec.ts","",""
"","571","a normal non-empty state persists after reload","chromium","Tue Jul 28 23:52:41 UTC 2026","passed","Tue Jul 28 23:52:42 UTC 2026","Todo Persistence — P1 / Regression","todo-persistence.spec.ts","",""
"","604","a user can complete and uncomplete a Todo; styling, checkbox and active counter remain consistent","chromium","Tue Jul 28 23:52:38 UTC 2026","passed","Tue Jul 28 23:52:39 UTC 2026","Todo Core — P0 / Smoke","todo-core.spec.ts","",""
"","582","a user can edit and save a Todo","chromium","Tue Jul 28 23:52:38 UTC 2026","passed","Tue Jul 28 23:52:39 UTC 2026","Todo Editing — P0 / P1","todo-editing.spec.ts","",""
"","502","special HTML-like characters are displayed as text and do not create injected markup","chromium","Tue Jul 28 23:52:39 UTC 2026","passed","Tue Jul 28 23:52:40 UTC 2026","Todo Editing — P0 / P1","todo-editing.spec.ts","",""
"","505","whitespace-only input is ignored","chromium","Tue Jul 28 23:52:39 UTC 2026","passed","Tue Jul 28 23:52:39 UTC 2026","Todo Editing — P0 / P1","todo-editing.spec.ts","",""
"","724","Active and Completed filters display only correct records and visibly select the correct route","chromium","Tue Jul 28 23:52:40 UTC 2026","passed","Tue Jul 28 23:52:41 UTC 2026","Todo Filtering — P0 / P1","todo-filtering.spec.ts","",""
"","610","a user can delete a Todo","chromium","Tue Jul 28 23:52:39 UTC 2026","passed","Tue Jul 28 23:52:39 UTC 2026","Todo Editing — P0 / P1","todo-editing.spec.ts","",""
"","665","clear-completed removes only completed records and disappears afterward","chromium","Tue Jul 28 23:52:41 UTC 2026","passed","Tue Jul 28 23:52:42 UTC 2026","Todo Filtering — P0 / P1","todo-filtering.spec.ts","",""
"","745","initial application state shows the two default todos and correct active count","chromium","Tue Jul 28 23:52:37 UTC 2026","passed","Tue Jul 28 23:52:38 UTC 2026","Todo Core — P0 / Smoke","todo-core.spec.ts","",""
"","697","toggle-all completes all active records and can return all records to active","chromium","Tue Jul 28 23:52:41 UTC 2026","passed","Tue Jul 28 23:52:41 UTC 2026","Todo Filtering — P0 / P1","todo-filtering.spec.ts","",""
"","545","saving an empty edited title removes the Todo","chromium","Tue Jul 28 23:52:40 UTC 2026","passed","Tue Jul 28 23:52:41 UTC 2026","Todo Editing — P0 / P1","todo-editing.spec.ts","",""
"","798","a user can add a Todo; surrounding whitespace is trimmed and the input is cleared","chromium","Tue Jul 28 23:52:37 UTC 2026","passed","Tue Jul 28 23:52:38 UTC 2026","Todo Core — P0 / Smoke","todo-core.spec.ts","",""
"","431","seeded todos from localStorage survive a reload","chromium","Tue Jul 28 23:52:42 UTC 2026","passed","Tue Jul 28 23:52:42 UTC 2026","Todo Persistence — P1 / Regression > BUG-002: empty state is not preserved after reload","todo-persistence.spec.ts","",""
